tile,deforest_pct,coords
1,0.0,"(4100, 400, 4990, 3320)"
2,0.0,"(4990, 400, 5880, 3320)"
3,0.0,"(5880, 400, 6770, 3320)"
4,0.0,"(6770, 400, 7660, 3320)"
5,0.0,"(7660, 400, 8550, 3320)"
6,0.0,"(8550, 400, 9440, 3320)"
7,0.0,"(9440, 400, 10330, 3320)"
8,0.0,"(10330, 400, 11220, 3320)"
9,0.0,"(11220, 400, 12110, 3320)"
10,0.0,"(12110, 400, 13000, 3320)"
11,0.0,"(4100, 3320, 4990, 6240)"
12,0.0,"(4990, 3320, 5880, 6240)"
13,0.0,"(5880, 3320, 6770, 6240)"
14,0.0,"(6770, 3320, 7660, 6240)"
15,0.0,"(7660, 3320, 8550, 6240)"
16,0.0,"(8550, 3320, 9440, 6240)"
17,0.0,"(9440, 3320, 10330, 6240)"
18,0.0,"(10330, 3320, 11220, 6240)"
19,0.0,"(11220, 3320, 12110, 6240)"
20,0.0,"(12110, 3320, 13000, 6240)"
21,0.0,"(4100, 6240, 4990, 9160)"
22,0.0,"(4990, 6240, 5880, 9160)"
23,0.0,"(5880, 6240, 6770, 9160)"
24,0.0,"(6770, 6240, 7660, 9160)"
25,0.0,"(7660, 6240, 8550, 9160)"
26,0.0,"(8550, 6240, 9440, 9160)"
27,0.0,"(9440, 6240, 10330, 9160)"
28,0.0,"(10330, 6240, 11220, 9160)"
29,0.0,"(11220, 6240, 12110, 9160)"
30,0.0,"(12110, 6240, 13000, 9160)"
31,0.0,"(4100, 9160, 4990, 12080)"
32,0.0,"(4990, 9160, 5880, 12080)"
33,0.0,"(5880, 9160, 6770, 12080)"
34,0.0,"(6770, 9160, 7660, 12080)"
35,0.0,"(7660, 9160, 8550, 12080)"
36,0.0,"(8550, 9160, 9440, 12080)"
37,0.0,"(9440, 9160, 10330, 12080)"
38,0.0,"(10330, 9160, 11220, 12080)"
39,0.0,"(11220, 9160, 12110, 12080)"
40,0.0,"(12110, 9160, 13000, 12080)"
41,0.0,"(4100, 12080, 4990, 15000)"
42,0.0,"(4990, 12080, 5880, 15000)"
43,0.0,"(5880, 12080, 6770, 15000)"
44,0.0,"(6770, 12080, 7660, 15000)"
45,0.0,"(7660, 12080, 8550, 15000)"
46,0.0,"(8550, 12080, 9440, 15000)"
47,0.0,"(9440, 12080, 10330, 15000)"
48,0.0,"(10330, 12080, 11220, 15000)"
49,0.0,"(11220, 12080, 12110, 15000)"
50,0.0,"(12110, 12080, 13000, 15000)"
